id,fax_id,date,date2,container,shipper,consignee,port,country,weight,commodity,com_qty,com_unit,ship,voyage,carrier,shipments,container_total,shipments_vrac,weight_total,lat,lon
3700-1-431MEAVILLAIDRE172CAR-1,3700,2/19/2018,2/1/2018,1,MEAD JOHNSON NUTRICIONALES,VILLEDROUIN & CO SUCCRS,ALTAMIRA,Mexico,16483,LAIT EN POUDRE,1728,CARTON,CONTSHIP RAY,036N,SEALAND,1,1,0,16483,22.39215,-97.93867
3709-1-431SEAHAIVIAEES167CAR-1,3709,2/19/2018,2/1/2018,1,SEARA ALIMENTOS LTDA,HAITI FOOD SUPPLY SA,NAVEGANTES,Brazil,26138,VIANDES DE PORC FRAICHES OU REFRIGEREES OU CONGELEES,1675,CARTON,CONTSHIP RAY,036N,SEALAND,1,1,0,26138,-26.9,-48.65
3715-4-434AROPARBUSION1UNI-2,3715,2/19/2018,2/1/2018,4,AROMARK SHIPPING LLC,PARTICULIER,PORT NEWARK ELIZABETH - NJ,USA,57450,BUS D'OCCASION,1,UNITES,HANSA AUGSBURG,65BIS,SEABOARD MARINE,0,1,0,19150,40.68155,-74.1505
3723-3-433GILPALTISILE121CAR-1,3723,2/19/2018,2/1/2018,3,GILDAN ACTIVEWEAR TEXTILE COMPANY,PALM APPAREL SA,RIO HAINA,Dominican Republic,53872,TISSUS ET ETOFFES POUR INDUSTRIE TEXTILE,121,CARTON,HANSA AUGSBURG,65BIS,SEABOARD MARINE,1,3,0,53872,18.417,-70.017
3729-9-439MABVALREFEUR68PIE-3,3729,2/19/2018,2/1/2018,9,MABE SA DE CV,VALERIO CANEZ SA,VERACRUZ,Mexico,51162,REFRIGERATEUR,68,PIECES,HANSA AUGSBURG,65BIS,SEABOARD MARINE,0,3,0,17054,14.916667,-88.78333
3738-0-430GEODINN/AN/A0N/A-1,3738,2/19/2018,2/1/2018,0,GEOGAS TRADING SA,DISTRIBUTEURS NATIONAUX SA,RIO HAINA,Dominican Republic,761883,N/A,0,N/A,TAUROGAS,V.77,PDVSA RVAM,1,0,1,761883,18.417,-70.017
3748-2-432ETES &ACCLE)160PAL-1,3748,2/20/2018,2/1/2018,2,ETERNITY INTERNATIONAL FREIGHT FORWARDERS (HK) LTD,S&H GLOBAL SA,NINGBO,China,23650,ACCESSOIRE POUR 807 PLANT (INDUSTRIE TEXTILE),160,PALETTES,CONTSHIP RAY,036N,EVERGREEN,1,2,0,23650,29.878185,121.54945
3757-1-431JOHGADSANLES977CAR-1,3757,2/20/2018,2/1/2018,1,JOHN & JEFF INTERNATIONAL TRADE CO,GADY DEPOT,YANTIAN,China,18688,"SANDALES,PANTOUFLES",977,CARTON,CONTSHIP RAY,036N,EVERGREEN,1,1,0,18688,22.556894,114.236897
3765-1-431OM GD ARTRIE661BAL-1,3765,2/20/2018,2/1/2018,1,OM SIDDH VINAYAK IMPEX PVT LTD,GD SERVICES,AHMEDABAD,India,28550,ARTICLE DE FRIPERIE,661,BALLES,CONTSHIP RAY,036N,EVERGREEN,1,1,0,28550,23.0333331,72.61667
3775-1-431TIACRIPATATE195CAR-1,3775,2/20/2018,2/1/2018,1,TIANJIN WAYSUN FOOD INDUSTRIES LTD,CRISTO SA,CHIWAN,China,22815,PATE TOMATE,1950,CARTON,CONTSHIP RAY,036N,EVERGREEN,1,1,0,22815,22.482086,113.885025
3785-0-430BP KIMESSEUR105GAL-1,3785,2/20/2018,2/1/2018,0,BP PRODUCTS NORTH AMERICA INC,KIMAZOU ENERGIE SA,HOUSTON - TX,USA,3336485,ESSENCE POUR MOTEUR,1050000,GALLONS,MAERSK MAYA,V.18-502,PDVSA RVAM,1,0,1,3336485,29.763056,-95.36305
3795-9-439AN3CHAEFFELS9LOT-2,3795,2/21/2018,2/1/2018,9,AN32 AEROFRET FRANCE,CHATELAIN CARGO SERVICES INC,LE HAVRE,France,105700,EFFETS PERSONNELS,9,LOTS,FALMOUTH,47,HAPAG-LLOYD,1,5,0,52850,49.5,0.133333
3804-52-4352ERICRIFAREIL413SAC-1,3804,2/21/2018,2/1/2018,52,ERISLER GIDA SAN VE TIC AS,CRISTO SA,ISTANBUL,Turkey,894198,FARINES DE FROMENT (BLE) OU DE METEIL,41360,"SACS, SACHETS",FALMOUTH,47,HAPAG-LLOYD,1,52,0,894198,41.018612,28.964722
3813-1-431JESSOGVIAEES250CAR-1,3813,2/21/2018,2/1/2018,1,JESTIN SOCIETE NOUVELLE,SOGEDIPA SA,LE HAVRE,France,26240,VIANDES DE PORC FRAICHES OU REFRIGEREES OU CONGELEES,2500,CARTON,FALMOUTH,47,HAPAG-LLOYD,1,1,0,26240,49.5,0.133333
3823-2-432PALCAREMUIRE149CAR-1,3823,2/21/2018,2/1/2018,2,PALSGAARD A/S,CARRIBEX SA,ARHUS,Denmark,43782,EMULSIFIANT AGRO-ALIMENTAIRE,1498,CARTON,FALMOUTH,47,HAPAG-LLOYD,1,2,0,43782,56.153423,10.22553
3831-2-432VIECARACCLE)728CAR-1,3831,2/21/2018,2/1/2018,2,VIETNAM GARMENTS MANUFACTURING LTD,CARIBBEAN ISLAND APPAREL SA,HO CHI MINH,Vietnam,12289,ACCESSOIRE POUR 807 PLANT (INDUSTRIE TEXTILE),728,CARTON,FALMOUTH,47,HAPAG-LLOYD,1,2,0,12289,10.8225,106.754
