id,fax_id,date,container,shipper,consignee,port,country2,weight,commodity,com_qty,com_unit,ship,voyage,carrier,shipments,container_total,shipments_vrac,weight_total,lat,lon
67856-1-441FLOWESEFFELS5PAL-1,67856,7/7/2020,1,FLORIDA PURCHASING AGENCY,WEST INDIES ENERGY CO SA,PORT EVERGLADES - FL,USA,9796.69,EFFETS PERSONNELS,5,PALETTES,DELPHINUS,138S,KING OCEAN SERVICES,1,1,0,9796.69,26.096666,-80.1275
67953-4-444NOACHASILRCE220SAC-1,67953,7/9/2020,4,NOATUM LOGISTICS SPAIN SAU.,CHATELAIN CARGO SERVICES INC,BARCELONA,SPAIN,111400,"SILICATES,SILICATES DES METAUX ALCALINS DU COMMERCE",2200,"SACS, SACHETS",CFS PAFILIA,0RU2UR1,CMA/CGM,1,4,0,111400,41.398373,2.1741
68038-1-441PROASSCOUEBE105CAR-1,68038,7/11/2020,1,PRODUCTOS INTERNATIONAL MABE SA,ASSOCIATED FOOD DISTRIBUTORS SA,VERACRUZ,MEXICO,8613.73,COUCHE POUR BEBE,1058,CARTON,GSL VALERIE,PD027A,MEDITERRANEAN SHIPPING CO,1,1,0,8613.73,14.916667,-88.78333
68130-1-441WISPHIETONON228ROU-1,68130,7/11/2020,1,WISHER INDUSTRIAL CO LTD,PHILIPPE SHOP,KAOHSIUNG,TAIWAN,25113,"ETOFFES EN LAINE,COTTON,POILS FINS EN BONNETERIE /NON",2286,"ROULEAUX, BOBINE",X-PRESS MACHU PICCHU,20027E,COSCO SHIPPING,1,1,0,25113,22.613333,120.279167
68216-1-441AJCTASVIAEES238CAI-1,68216,7/13/2020,1,AJC INTERNATIONAL INC,TASHA STORE SA,ANTWERP,BELGIUM,55726,VIANDES DE PORC FRAICHES OU REFRIGEREES OU CONGELEES,2384,CAISSES,PACIFIC TRADER,033H,HAPAG-LLOYD,1,1,0,55726,51.216667,4.416667
68305-1-441MOMDACARTRIE317CAR-1,68305,7/14/2020,1,MOMA GROUP LIMITED,DACHELA IMPORT EXPORT,DALIAN,CHINA,19070,ARTICLE DE FRIPERIE,317,CARTON,ARKADIA,135N,EVERGREEN,1,1,0,19070,38.912224,121.60222
68400-1-441MARATLPAREUR10PIE-1,68400,7/14/2020,1,MARTAINER INC,ATLANTIS MOTORS SA,PORT EVERGLADES - FL,USA,1293.19,"PARTIES, PIECES DE RECHANGE POUR MOTEUR",10,PIECES,DELPHINUS,139S,KING OCEAN SERVICES,1,1,0,1293.19,26.096666,-80.1275
68497-1-441COMVALFERIES216CAR-1,68497,7/16/2020,1,COMPAGNIE FRANCAISE D'ETUDES ET D'ENTREPRISE,VALERIO CANEZ SA,PORT NEWARK ELIZABETH - NJ,USA,1710,FER A REPASSER ELECTRIQUE ET PARTIES,216,CARTON,CFS PAFILIA,0RU2VR1,CMA/CGM,1,1,0,1710,40.68155,-74.1505
68589-1-441SINCANANTIES43PAQ-1,68589,7/17/2020,1,SINUTA,CANAL + HAITI,ESTAPREJA,PORTUGAL,20240,"ANTENNE, ACCESSOIRE ET PARTIES",43,"PAQUET, COLIS",NEWYORKER,PD028A,MEDITERRANEAN SHIPPING CO,1,1,0,20240,40.75648,-8.572074
68676-2-442HANGO TISILE89PAQ-1,68676,7/20/2020,2,HANESBRANDS INC,GO HAITI SA,RIO HAINA,DOMINICAN REPUBLIC,6722.44,TISSUS ET ETOFFES POUR INDUSTRIE TEXTILE,89,"PAQUET, COLIS",AS SAVANNA,15N,SEABOARD MARINE,1,2,0,6722.44,18.417,-70.017
68768-1-441UNICLOMEU..)707CAR-1,68768,7/20/2020,1,UNIGAIN TRADING CO LTD,CLOXA IMPORT EXPORT SA,NINGBO,CHINA,10495.25,"MEUBLES ET LEURS PARTIES (MOBILIER DE BUREAU,CHAMBRE...)",707,CARTON,YERUPAJA,20029E,COSCO SHIPPING,1,1,0,10495.25,29.878185,121.54945
68859-2-442LUZSHAEDUANT160PAL-1,68859,7/21/2020,2,LUZHOU BIO-CHEM TECHNOLOGY,SHAISA,SHANDONG,CHINA,46320,EDULCORANT,160,PALETTES,ACRUX N,136N,EVERGREEN,1,2,0,46320,36.66833,116.99722
68953-1-441HANHANTISILE599BAL-1,68953,7/21/2020,1,HANSAE CO LTD,HANSAE HAITI SA,BUSAN,SOUTH KOREA,10692.23,TISSUS ET ETOFFES POUR INDUSTRIE TEXTILE,599,BALLES,ACRUX N,136N,MAERSK LINE,1,1,0,10692.23,35.10278,129.04028
69048-3-443KCAHAIMONQUE209CAR-1,69048,7/21/2020,3,KCA GLOBAL CO LTD,HAITI CHEUNG WON SA,SEOUL,SOUTH KOREA,68999.6,MONOFILAMENT SYNTHETIQUE,2091,CARTON,YERUPAJA,20029S,ZIM LINES,1,3,0,68999.6,37.456257,126.705208
69139-0-440CARCONSELIUM340KG-1,69139,7/25/2020,0,CARGILL INCORPORATED,CONGREGATION DE SAINTE CROIX,RESERVE - LA,USA,3400988,SEL ET CHLORURE DE SODIUM,3400988,KG,MURUETA,115-104,SONTRAM,1,0,1,3400988,30.05381,-90.55175
69228-1-441ECUETSMARLES30PAQ-1,69228,7/28/2020,1,ECU WORLDWIDE,ETS JB VITAL SA,MIAMI - FL,USA,7971.29,MARCHANDISE GENERALE,30,"PAQUET, COLIS",DELPHINUS,141S,KING OCEAN SERVICES,1,1,0,7971.29,25.77389,-80.193886
